Country,Period_ID
brunswick_wolfenbuttel,1154
brunswick_luneburg,1082
brunswick_luneburg,1087
brunswick_luneburg,1083
brunswick_luneburg,1089
brunswick_luneburg,1088
bremen,655
bremen,1194
bremen,1195
british_west_indies,1037
british_east_africa,567
british_east_africa,566
british_east_africa,565
british_guiana,736
british_guiana,737
british_west_africa,621
british_east_indies,1167
british_east_indies,1104
british_east_indies,1103
british_east_indies,1165
british_east_indies,1166
british_east_indies,1101
british_east_indies,1102
british_honduras,590
burgau,1222
bukhara,1290
bhopal,1212
waldeck,665
waldeck,1045
waldeck,1046
venice,813
venice,1138
venice,1140
venice,1139
venice,1141
westphalia,896
westphalia,1133
wurttemberg,467
wurttemberg,866
wurttemberg,1237
wurttemberg,1238
wurzburg,1242
hawaii,952
galicia_lodomeria,1270
hamburg,468
hamburg,903
hamburg,904
hannover,1063
hannover,884
hannover,885
gwalior,801
genoa,1125
genoa,1124
genoa,1126
genoa,1132
german_democratic_republic,44
third_reich,96
third_reich,95
german_east_africa,688
german_east_africa,687
german_empire,465
german_empire,291
german_empire,466
german_empire,437
german_empire,464
german_empire,654
german_empire,655
german_empire,665
german_empire,467
german_empire,468
german_empire,653
german_empire,469
german_empire,657
german_empire,656
german_empire,658
german_empire,436
german_empire,661
german_empire,660
german_empire,662
german_empire,473
german_empire,663
german_empire,470
german_empire,457
german_empire,659
german_empire,472
german_empire,664
german_new_guinea,734
hessen_homburg,1268
hessen_darmstadt,465
hessen_darmstadt,994
hessen_darmstadt,999
hesse_kassel,899
netherlands_east_indies,568
netherlands_east_indies,821
netherlands_east_indies,950
netherlands_east_indies,979
dutch_republic,949
dutch_republic,948
dutch_republic,954
dutch_republic,953
dutch_republic,959
dutch_republic,960
dutch_republic,957
dutch_republic,958
gorizia_gradisca,861
gubbio,1236
danzig,295
danzig,1000
danzig,1284
darfur,1293
danish_west_indies,906
two_sicilies,862
demerara_essequibo,891
jaipur,1012
jaora,1169
jodhpur,1093
jodhpur,1112
junagadh,1091
zaire,551
salzburg,1152
salzburg,1151
zanzibar,726
zanzibar,727
mughal_empire,1254
mughal_empire,1253
mughal_empire,1252
mughal_empire,1246
mughal_empire,1239
mughal_empire,1251
indore,1056
british_india,418
british_india,419
british_india,420
british_india,482
british_india,668
british_india,869
british_india,871
british_india,870
british_india,1223
portuguese_india,540
portuguese_india,554
ionian_islands,804
span_civil_war,956
span_civil_war,977
span_civil_war,702
span_civil_war,705
span_civil_war,703
span_civil_war,704
span_civil_war,701
spanish_netherlands,1227
spanish_netherlands,1228
spanish_netherlands,1231
spanish_netherlands,1229
spanish_netherlands,1230
spainish_provinces,897
spainish_provinces,900
italian_eritrea,963
italian_somaliland,691
italian_somaliland,690
canadian_provinces,831
canadian_provinces,830
canadian_provinces,829
katanga,706
qatar_dubai,643
kutch,926
kutch,1255
china_empire,914
china_empire,1075
china_empire,1174
china_empire,916
china_empire,1171
china_empire,980
china_empire,912
china_empire,913
china_empire,1172
china_empire,915
china_empire,911
china_empire,917
china_empire,1131
china_empire,921
china_empire,907
china_empire,908
china_empire,1173
china_empire,1130
china_republic,1118
china_republic,1117
china_republic,967
china_republic,966
china_republic,775
china_republic,816
china_republic,817
china_republic,776
china_republic,820
china_republic,939
china_republic,943
china_republic,1025
china_republic,1234
china_republic,942
japanese_china,630
japanese_china,627
japanese_china,629
japanese_china,626
japanese_china,628
korea,1004
korea,1003
korea,1005
korea,1006
korea,1007
korea,1243
korea,1286
